COMPONENT_NO,COMPONENT_NAME,SYM_MIRROR,X,Y,ANGLE,IN_BOM,PACKAGE,COVER_PART
1,R677,NO,163.5326,115.9535,0,1,R677,
2,C3146,NO,307.2000,175.4632,0,1,R677,
3,C2510,NO,321.5510,37.2618,180,1,R677,
4,R46,NO,162.7833,108.9177,180,1,R677,
5,R675,NO,165.5036,115.2550,270,1,R677,
6,C2511,NO,143.4843,131.0005,270,1,R677,
7,R80,NO,36.4233,49.7205,270,1,R677,
8,R84,NO,339.5723,107.8865,270,1,R677,
9,R47,NO,339.5723,137.7315,270,1,R677,
10,R676,NO,163.5249,117.1753,0,1,R677,
11,R674,NO,163.5351,118.5164,0,1,R677,
12,R109,NO,339.5723,112.0775,90,1,R677,
13,R49,NO,339.5723,141.9225,90,1,R677,
14,R48,NO,162.7883,111.8997,180,1,R677,
15,R108,NO,38.8363,49.7205,270,1,R677,
16,EU32,NO,168.7421,119.8499,0,1,EU32,
17,R658,NO,167.1368,115.7681,0,1,R658,
18,R657,NO,177.0758,102.8700,0,1,R658,
19,R238,NO,2.7048,142.3670,0,1,R658,
20,R659,NO,169.3796,115.3160,90,1,R658,
21,R348,YES,15.6690,82.4001,90,1,R434,
22,R135,NO,2.3873,153.6065,90,1,R658,
23,R131,NO,2.4508,150.6220,180,1,R658,
24,R134,NO,12.1028,153.1620,180,1,R658,
25,R133,NO,6.8323,153.6065,270,1,R658,
26,R237,NO,5.0543,153.6065,270,1,R658,
27,C3179,NO,165.4249,119.1870,90,1,R677,
28,C3154,NO,170.6369,114.9731,270,1,R677,
29,R670,NO,190.7918,14.3383,90,1,R658,
30,R666,NO,191.4776,12.7127,90,1,R658,
31,R671,NO,189.5218,14.3383,90,1,R658,
32,R667,NO,190.1568,12.7127,90,1,R658,
33,R668,NO,188.8614,12.7127,90,1,R658,
34,R672,NO,188.2010,14.3383,90,1,R658,
35,R673,NO,186.9133,14.3154,90,1,R658,
36,R669,NO,187.5660,12.6873,90,1,R658,
37,U76,NO,189.8406,19.3954,0,1,U76,
38,R171,NO,166.9158,45.2120,0,1,R658,
39,R37,NO,166.9158,42.6720,0,1,R658,
40,R664,NO,183.2353,19.7485,90,1,R658,
41,R462,NO,154.8508,46.6090,180,1,R658,
42,R125,NO,154.8508,45.3390,180,1,R658,
43,R124,NO,154.8508,43.9420,180,1,R658,
44,R76,NO,154.8508,42.6720,180,1,R658,
45,R665,NO,181.3557,17.0053,270,1,R658,
46,U77,NO,181.2033,19.8120,0,1,U77,
47,R381,NO,177.6854,47.3202,0,1,R658,
48,R662,NO,192.1126,14.3383,90,1,R658,
49,R343,YES,22.0469,99.7280,90,1,R434,
50,R345,YES,194.5637,89.3394,90,1,R434,
51,R437,NO,392.5034,81.6432,180,1,R658,
52,R380,YES,361.4798,129.6670,180,1,R434,
53,R379,YES,361.4798,128.7780,180,1,R434,
54,R378,YES,385.3558,129.6670,180,1,R434,
55,R377,YES,385.3558,128.7780,180,1,R434,
56,R427,NO,403.0469,86.2965,270,1,R658,
57,R443,YES,203.4791,84.2137,270,1,R434,
58,R663,NO,181.9526,22.8219,270,1,R658,
59,R6,YES,25.7680,182.6006,0,1,R434,
60,R266,NO,249.2118,169.9260,0,1,R658,
61,R472,NO,204.8888,35.5600,0,1,R658,
62,R90,YES,226.0597,166.5757,0,1,R434,
63,R516,NO,53.7588,171.5770,0,1,R658,
64,R58,NO,196.5068,35.5600,0,1,R658,
65,R395,NO,239.5598,81.4070,0,1,R658,
66,R388,NO,67.4748,80.7720,0,1,R658,
67,R394,NO,270.0398,81.4070,0,1,R658,
68,R387,NO,97.9548,80.7720,0,1,R658,
69,R393,NO,300.5198,81.4070,0,1,R658,
70,R386,NO,128.4348,80.7720,0,1,R658,
71,R392,NO,300.5198,124.5870,0,1,R658,
72,R385,NO,158.9148,80.7720,0,1,R658,
73,R384,NO,113.1948,123.9520,0,1,R658,
74,R390,NO,239.5598,124.5870,0,1,R658,
75,R391,NO,270.0398,124.5870,0,1,R658,
76,R389,NO,209.0798,124.5870,0,1,R658,
77,R382,NO,52.2348,123.9520,0,1,R658,
78,R26,NO,24.0408,149.7330,0,1,R658,
79,R251,NO,289.9026,181.4830,0,1,R658,
80,R371,NO,19.7482,156.8704,0,1,R658,
81,R25,YES,213.0168,71.7067,0,1,R434,
82,R483,NO,301.0913,180.8226,0,1,R658,
83,R116,NO,16.7637,150.2918,0,1,R658,
84,R383,NO,82.7148,123.9520,0,1,R658,
85,R369,NO,16.0779,152.1333,90,1,R658,
86,R332,NO,60.2993,182.4355,90,1,R658,
87,R480,NO,67.5434,150.9090,90,1,R658,
88,R661,NO,192.7807,25.2374,90,1,R658,
89,R175,NO,50.1495,64.8487,90,1,R658,
90,R32,NO,43.2813,160.0835,90,1,R658,
91,R60,NO,197.2053,47.0535,90,1,R658,
92,R56,NO,201.2693,47.0535,90,1,R658,
93,R103,NO,222.6688,54.4601,90,1,R658,
94,R28,NO,40.0555,166.8755,90,1,R658,
95,R83,NO,198.0943,47.0535,90,1,R658,
96,R274,NO,199.9993,57.4675,90,1,R658,
97,R263,NO,27.5333,67.8815,90,1,R658,
98,R261,NO,164.7518,12.1336,90,1,R658,
99,R214,NO,156.5018,13.5255,90,1,R658,
100,R57,NO,196.3163,47.0535,90,1,R658,
101,R19,YES,40.4975,82.0953,180,1,R434,
102,R250,NO,301.0278,182.0672,180,1,R658,
103,R484,NO,289.8899,182.7530,180,1,R658,
104,R118,NO,22.7708,145.2880,180,1,R658,
105,R370,NO,14.7190,153.1264,180,1,R658,
106,R85,NO,206.2858,47.4980,180,1,R658,
107,R333,NO,57.1624,171.4881,180,1,R658,
108,R336,NO,65.9254,171.4754,180,1,R658,
109,R331,NO,57.0608,182.9460,180,1,R658,
110,R27,NO,22.7708,147.3200,180,1,R658,
111,R52,NO,210.0958,36.0680,180,1,R658,
112,R115,NO,22.3898,149.9870,180,1,R658,
113,R53,NO,210.0958,34.5440,180,1,R658,
114,R81,NO,193.9033,35.1155,270,1,R658,
115,R368,NO,16.0271,154.6733,270,1,R658,
116,R78,NO,225.1834,54.4601,270,1,R658,
117,R367,NO,18.8973,148.9075,270,1,R658,
118,R54,NO,200.5073,35.1155,270,1,R658,
119,R61,NO,200.3803,47.0535,270,1,R658,
120,R366,NO,18.0083,148.9075,270,1,R658,
121,R267,NO,247.7513,170.3705,270,1,R658,
122,R55,NO,197.8403,35.1155,270,1,R658,
123,R59,NO,201.3963,35.1155,270,1,R658,
124,R174,NO,52.6641,64.8487,270,1,R658,
125,R517,NO,61.6963,171.7675,270,1,R658,
126,R29,NO,36.2201,148.3944,270,1,R658,
127,R660,NO,169.3593,124.7978,90,1,R677,
128,R63,NO,195.0463,34.7345,90,1,R677,
129,C3181,NO,170.5811,124.8080,90,1,R677,
130,EU2,NO,10.1610,147.0520,0,1,EU2,
131,J1,NO,15.9167,33.2461,0,1,J1,
132,C762,NO,181.2668,57.9120,0,1,R658,
133,C1772,NO,211.4928,112.5220,0,1,R658,
134,C751,NO,166.0268,57.9120,0,1,R658,
135,C798,NO,150.7868,57.9120,0,1,R658,
136,C1259,NO,69.8878,54.3560,0,1,R658,
137,C792,NO,122.2118,57.9120,0,1,R658,
138,C1596,NO,85.1278,54.3560,0,1,R658,
139,C1563,NO,176.5678,54.3560,0,1,R658,
140,C789,NO,135.5468,57.9120,0,1,R658,
141,C1547,NO,161.3278,54.3560,0,1,R658,
142,C960,NO,89.8268,57.9120,0,1,R658,
143,C1180,NO,146.0878,54.3560,0,1,R658,
144,C957,NO,76.4918,57.9120,0,1,R658,
145,C1164,NO,130.8478,54.3560,0,1,R658,
146,C530,NO,135.5468,87.7570,0,1,R658,
147,C1227,NO,115.6078,54.3560,0,1,R658,
148,C533,NO,122.2118,87.7570,0,1,R658,
149,C1212,NO,100.3678,54.3560,0,1,R658,
150,C807,NO,150.7868,87.7570,0,1,R658,
151,C1451,NO,69.8878,84.2010,0,1,R658,
152,C780,NO,166.0268,87.7570,0,1,R658,
153,C2016,NO,248.5768,58.5470,0,1,R658,
154,C1436,NO,85.1278,84.2010,0,1,R658,
155,C2011,NO,261.9118,58.5470,0,1,R658,
156,C1004,NO,263.8168,58.5470,0,1,R658,
157,C1014,NO,292.3918,58.5470,0,1,R658,
158,C1100,NO,130.8478,84.2010,0,1,R658,
159,C951,NO,74.5868,87.7570,0,1,R658,
160,C1244,NO,115.6078,84.2010,0,1,R658,
161,C738,NO,294.2968,58.5470,0,1,R658,
162,C1115,NO,100.3678,84.2010,0,1,R658,
163,C1356,NO,69.8878,111.8870,0,1,R658,
164,C1340,NO,54.6478,111.8870,0,1,R658,
165,C1308,NO,69.8878,141.7320,0,1,R658,
166,C950,NO,61.2518,87.7570,0,1,R658,
167,C943,NO,76.4918,87.7570,0,1,R658,
168,C1419,NO,100.3678,111.8870,0,1,R658,
169,C689,NO,91.7318,87.7570,0,1,R658,
170,C1404,NO,85.1278,111.8870,0,1,R658,
171,C769,NO,181.2668,87.7570,0,1,R658,
172,C2040,NO,130.8478,141.7320,0,1,R658,
173,C942,NO,89.8268,87.7570,0,1,R658,
174,C1132,NO,115.6078,141.7320,0,1,R658,
175,C831,NO,106.9718,87.7570,0,1,R658,
176,C1372,NO,100.3678,141.7320,0,1,R658,
177,C688,NO,105.0668,87.7570,0,1,R658,
178,C1387,NO,85.1278,141.7320,0,1,R658,
179,C834,NO,120.3068,87.7570,0,1,R658,
180,C1989,NO,294.2968,108.9660,0,1,R658,
181,C1324,NO,54.6478,141.7320,0,1,R658,
182,C1931,NO,257.2128,54.9910,0,1,R658,
183,C1984,NO,307.6318,108.9660,0,1,R658,
184,C1675,NO,272.4528,54.9910,0,1,R658,
185,C1083,NO,233.3368,138.8110,0,1,R658,
186,C543,NO,172.8848,15.4940,0,1,R658,
187,C1948,NO,241.9728,84.8360,0,1,R658,
188,C544,NO,162.0898,15.3670,0,1,R658,
189,C1915,NO,257.2128,84.8360,0,1,R658,
190,C548,NO,198.6658,15.1130,0,1,R658,
191,C1724,NO,272.4528,84.8360,0,1,R658,
192,C547,NO,209.4608,15.1130,0,1,R658,
193,C1707,NO,287.6928,84.8360,0,1,R658,
194,C1804,NO,302.9328,84.8360,0,1,R658,
195,C233,NO,9.0548,153.1620,0,1,R658,
196,C1467,NO,318.1728,84.8360,0,1,R658,
197,C2422,NO,195.1098,115.3160,0,1,R658,
198,C1753,NO,202.8568,139.8270,0,1,R658,
199,C1786,NO,231.4318,107.9500,0,1,R658,
200,C1691,NO,287.6928,54.9910,0,1,R658,
201,C2057,NO,241.9728,54.9910,0,1,R658,
202,C928,NO,89.8268,108.3310,0,1,R658,
203,C1500,NO,257.2128,112.5220,0,1,R658,
204,C1747,NO,202.8568,137.7950,0,1,R658,
205,C1644,NO,272.4528,112.5220,0,1,R658,
206,C1748,NO,216.1918,137.7950,0,1,R658,
207,C1836,NO,257.2128,142.3670,0,1,R658,
208,C1625,NO,263.8168,139.8270,0,1,R658,
209,C1756,NO,211.4928,142.3670,0,1,R658,
210,C1834,NO,261.9118,137.7950,0,1,R658,
211,C1740,NO,226.7328,142.3670,0,1,R658,
212,C1642,NO,277.1518,107.9500,0,1,R658,
