COMPONENT_NO,COMPONENT_NAME,SYM_MIRROR,X,Y,ANGLE,IN_BOM,PACKAGE,COVER_PART
1,J47,YES,90.4786,71.0717,0,0,J47,novalue
2,J17,YES,199.4344,39.4640,0,0,J47,novalue
3,J36,YES,180.5622,114.7064,0,0,J47,novalue
4,J34,YES,321.5132,72.0014,0,0,J47,novalue
5,J39,YES,198.0197,104.5972,0,0,J47,novalue
6,J40,YES,198.0197,110.2614,0,0,J47,novalue
7,J38,YES,398.1640,93.1672,0,0,J47,novalue
8,J45,YES,13.7389,128.7996,90,0,J47,novalue
9,J18,YES,187.8051,38.4848,90,0,J47,novalue
10,J37,YES,15.1613,104.7204,90,0,J47,novalue
11,J20,YES,253.5784,182.6171,90,0,J47,novalue
12,J31,YES,40.1980,128.8834,90,0,J47,novalue
13,J33,YES,180.2105,97.8116,90,0,J47,novalue
14,J35,YES,314.6819,154.6098,180,0,J47,novalue
15,J30,YES,259.3530,124.3330,180,0,J47,novalue
16,J12,YES,230.0567,52.4002,180,0,J47,novalue
17,J41,YES,103.2015,183.3880,180,0,J47,novalue
18,J32,YES,328.3941,56.9506,270,0,J47,novalue
19,J44,YES,229.2833,60.9130,270,0,J47,novalue
20,J16,YES,206.1185,48.7388,270,0,J47,novalue
21,J19,YES,43.7363,103.6790,270,0,J47,novalue
22,J43,YES,56.7665,71.7588,270,0,J47,novalue
23,J15,YES,225.6257,91.1568,270,0,J47,novalue
24,J14,YES,314.4368,38.5280,270,0,J47,novalue
25,J13,YES,190.7261,49.8818,270,0,J47,novalue
26,R487,YES,86.3295,71.0743,0,0,R487,novalue
27,R341,YES,205.4327,51.9176,0,0,R487,novalue
28,R451,YES,176.6418,115.7224,0,0,R487,novalue
29,R452,YES,14.4628,101.4984,0,0,R487,novalue
30,R475,YES,13.7389,124.9553,90,0,R487,novalue
31,R449,YES,318.2899,71.3029,90,0,R487,novalue
32,R249,YES,196.1998,38.7350,90,0,R487,novalue
33,R446,YES,40.2133,124.8943,90,0,R487,novalue
34,R450,YES,317.9039,153.9113,90,0,R487,novalue
35,R448,YES,180.2105,93.9724,90,0,R487,novalue
36,R466,YES,107.0966,183.3880,180,0,R487,novalue
37,R8,YES,356.2452,137.5410,180,0,R487,novalue
38,R445,YES,265.0592,124.3330,180,0,R487,novalue
39,R14,YES,379.6132,137.6680,180,0,R487,novalue
40,C2407,YES,357.6549,56.6166,180,0,R487,novalue
41,R357,YES,254.2769,179.4383,180,0,R487,novalue
42,R347,YES,188.4655,35.3060,180,0,R487,novalue
43,C2495,YES,356.0547,132.0673,270,0,R487,novalue
44,C2494,YES,352.2955,132.1943,270,0,R487,novalue
45,C2490,YES,379.8799,131.9403,270,0,R487,novalue
46,R473,YES,56.7665,75.9079,270,0,R487,novalue
47,R474,YES,229.2833,64.7573,270,0,R487,novalue
48,R447,YES,328.3687,61.0235,270,0,R487,novalue
49,C2489,YES,376.2223,132.2197,270,0,R487,novalue
50,R27,NO,24.3942,147.9550,0,1,R27,
51,R331,NO,56.2712,182.9460,0,1,R27,
52,R54,NO,198.5264,110.0938,0,1,R27,
53,R59,NO,198.5264,110.9574,0,1,R27,
54,R55,NO,198.5264,106.9315,0,1,R27,
55,R472,NO,199.4916,113.8149,0,1,R27,
56,R53,NO,199.4916,114.6785,0,1,R27,
57,R61,NO,185.0644,109.4461,0,1,R27,
58,R52,NO,198.5264,115.5421,0,1,R27,
59,R58,NO,198.5264,106.0679,0,1,R27,
60,R392,NO,310.8757,128.6688,0,1,R27,
61,R81,NO,198.6534,103.5914,0,1,R27,
62,R391,NO,281.1983,128.6307,0,1,R27,
63,R390,NO,251.5184,128.5926,0,1,R27,
64,R383,NO,93.8225,128.5164,0,1,R27,
65,R389,NO,221.8411,128.5545,0,1,R27,
66,R382,NO,64.1452,128.4783,0,1,R27,
67,R384,NO,123.5024,128.5545,0,1,R27,
68,R118,NO,24.3942,147.0660,0,1,R27,
69,R370,NO,15.0724,153.1264,0,1,R27,
70,R250,NO,301.3812,182.0672,0,1,R27,
71,R261,NO,320.5480,146.6444,0,1,R27,
72,R266,YES,244.2743,171.2747,0,1,R476,
73,R336,NO,66.2788,171.4754,0,1,R27,
74,R332,NO,65.0088,182.9562,0,1,R27,
75,R333,NO,57.5158,171.4881,0,1,R27,
76,R367,NO,18.7427,148.8821,90,1,R27,
77,R366,NO,17.8791,148.8821,90,1,R27,
78,R214,NO,323.3699,155.7782,90,1,R27,
79,R368,NO,16.3805,154.6733,90,1,R27,
80,R29,NO,36.5735,148.3944,90,1,R27,
81,R267,YES,245.7983,172.2907,90,1,R476,
82,R174,NO,53.0174,64.8487,90,1,R27,
83,R484,NO,290.5227,183.1594,90,1,R27,
84,R78,NO,225.5368,54.4601,90,1,R27,
85,R251,NO,290.6497,180.9623,90,1,R27,
86,R19,YES,40.8508,82.0953,90,1,R476,
87,R483,NO,301.3177,179.9336,180,1,R27,
88,R85,NO,185.0644,113.4339,180,1,R27,
89,R32,NO,43.7490,162.3263,180,1,R27,
90,R388,NO,73.1876,68.1228,180,1,R27,
91,R395,NO,245.7679,68.1228,180,1,R27,
92,R116,NO,17.1171,150.2918,180,1,R27,
93,R26,NO,24.3942,149.7330,180,1,R27,
94,R371,NO,20.1016,156.8704,180,1,R27,
95,R60,NO,185.2549,106.3219,180,1,R27,
96,R56,NO,185.1152,110.3097,180,1,R27,
97,R83,NO,184.2135,107.2109,180,1,R27,
98,R57,NO,185.2549,105.4583,180,1,R27,
99,R385,NO,162.2755,68.1228,180,1,R27,
100,R386,NO,132.5956,68.0872,180,1,R27,
101,R393,NO,305.1251,68.1990,180,1,R27,
102,R387,NO,102.9157,68.1736,180,1,R27,
103,R394,NO,275.4478,68.1634,180,1,R27,
104,R274,NO,200.3781,57.5259,270,1,R27,
105,R28,NO,40.4089,166.8755,270,1,R27,
106,R175,NO,50.5028,64.8487,270,1,R27,
107,R263,NO,27.8613,67.9145,270,1,R27,
108,R103,NO,223.0222,54.4601,270,1,R27,
109,R369,NO,16.4313,152.1333,270,1,R27,
110,R480,NO,67.8967,150.9090,270,1,R27,
111,R115,NO,23.3705,152.4457,270,1,R27,
112,R6,YES,26.1214,182.6006,270,1,R476,
113,R25,YES,213.3702,71.7067,270,1,R476,
114,R90,YES,226.4131,166.5757,270,1,R476,
115,U9,NO,31.2483,147.2692,0,1,U9,
116,C2926,NO,161.3510,98.6485,0,0,R27,novalue
117,R439,NO,43.7490,164.9476,0,0,R27,novalue
118,R224,NO,74.4957,65.9892,0,0,R27,novalue
119,C2114,NO,76.4134,58.1660,0,0,R27,novalue
120,C2445,NO,59.2938,32.0802,0,0,R27,novalue
121,C2927,NO,161.3510,109.1235,0,0,R27,novalue
122,R236,NO,2.9591,147.1778,0,0,R27,novalue
123,C2925,NO,161.3510,103.8860,0,0,R27,novalue
124,R223,NO,129.1057,42.6085,90,0,R27,novalue
125,C2888,NO,136.4717,36.6395,90,0,R27,novalue
126,C2443,NO,63.2435,32.7025,90,0,R27,novalue
127,R465,NO,200.4543,106.5149,90,0,R27,novalue
128,C2524,NO,397.8631,81.5975,90,0,R27,novalue
129,C2444,NO,54.7345,31.2293,90,0,R27,novalue
130,C2562,NO,350.7207,53.5940,90,0,R27,novalue
131,C2565,NO,350.7207,22.9870,90,0,R27,novalue
132,R122,NO,129.8423,163.2763,90,0,R27,novalue
133,R225,NO,72.3570,60.8838,90,0,R27,novalue
134,C2432,NO,172.3111,42.2402,180,0,R27,novalue
135,C2474,NO,145.8824,40.2463,180,0,R27,novalue
136,R438,NO,2.9566,144.5006,180,0,R27,novalue
137,R82,NO,199.4916,112.9487,180,0,R27,novalue
138,R127,NO,140.2436,45.7124,180,0,R27,novalue
139,R138,NO,134.6302,158.4884,180,0,R27,novalue
140,R485,NO,24.3942,148.8440,180,0,R27,novalue
141,C2375,NO,329.3212,106.8070,180,0,R27,novalue
142,C2371,NO,329.3212,136.6520,180,0,R27,novalue
143,R132,NO,2.9591,148.0668,180,0,R27,novalue
144,C2929,NO,159.1132,106.7283,180,0,R27,novalue
145,C2928,NO,159.1132,101.4882,180,0,R27,novalue
146,C2374,NO,35.6337,58.9915,270,0,R27,novalue
147,C2370,NO,148.1557,122.7455,270,0,R27,novalue
148,C2563,NO,350.7207,56.1340,270,0,R27,novalue
149,C2564,NO,350.7207,25.5270,270,0,R27,novalue
150,C2930,NO,159.5069,112.5880,270,0,R27,novalue
151,C2900,NO,76.4007,65.4177,270,0,R27,novalue
152,R222,NO,127.2007,40.9575,270,0,R27,novalue
153,U5,NO,57.9298,158.3665,0,1,U5,
154,R440,NO,58.8112,169.1132,0,1,R27,
155,R372,NO,145.8824,41.2115,0,1,R27,
156,R13,YES,374.4697,132.3975,0,1,R476,
157,R7,YES,350.6191,132.6007,0,1,R476,
158,R457,NO,80.3123,182.7657,90,1,R27,
159,R397,YES,365.3257,25.5270,180,1,R464,
160,R359,YES,359.8012,40.1320,270,1,R476,
161,Q10,NO,321.9679,41.2750,0,1,Q10,
162,Q1,NO,75.4355,55.5422,0,1,Q10,
163,Q8,YES,409.4404,96.3346,0,1,Q23,
164,Q15,NO,147.6477,130.9370,90,1,Q10,
165,Q2,NO,44.9301,159.9895,90,1,Q10,
166,U58,NO,325.6890,44.9580,0,1,U58,
167,U60,NO,153.1214,130.8100,0,1,U58,
168,R478,NO,134.2492,35.8140,0,0,R478,novalue
169,C2890,NO,30.6172,132.9690,0,0,R478,novalue
170,R216,NO,125.3592,35.5600,0,0,R478,novalue
171,C2391,NO,74.5211,64.9478,0,0,R478,novalue
172,C2898,NO,122.9462,51.3080,0,0,R478,novalue
173,C2390,NO,120.0252,47.6250,0,0,R478,novalue
174,C2899,NO,120.0252,48.8950,0,0,R478,novalue
175,C2897,NO,122.9462,49.9872,0,0,R478,novalue
176,C2386,NO,124.9147,40.7035,90,0,R478,novalue
177,R399,NO,56.9824,29.3751,90,0,R478,novalue
178,R364,NO,55.7759,31.2293,90,0,R478,novalue
179,C2894,NO,125.4862,51.3080,180,0,R478,novalue
180,C2895,NO,125.4862,50.0380,180,0,R478,novalue
181,C2510,NO,321.9044,37.2618,180,0,R478,novalue
182,R212,NO,122.6922,35.5600,180,0,R478,novalue
183,C2511,NO,143.8377,131.0005,270,0,R478,novalue
184,C2387,NO,127.8357,46.5455,270,0,R478,novalue
185,C2382,NO,123.3907,37.5285,270,0,R478,novalue
186,C2383,NO,124.6607,37.5285,270,0,R478,novalue
187,C2896,NO,129.0549,46.5455,270,0,R478,novalue
188,U67,NO,141.8692,36.6166,0,0,U67,novalue
189,R479,NO,137.6147,36.6395,0,0,R479,novalue
190,J21,NO,7.2898,98.0465,0,0,J21,novalue
191,L16,NO,33.7287,136.5809,0,0,L16,novalue
192,C2893,NO,31.6382,122.7836,0,1,C2893,
193,C2892,NO,31.6382,128.6510,0,1,C2893,
194,C2901,NO,76.2483,58.9026,0,0,C2901,novalue
195,C2115,NO,76.2991,64.2620,0,0,C2901,novalue
196,EU5,NO,124.2289,45.3136,0,0,EU5,novalue
197,C2889,NO,134.1857,37.4650,0,0,C2889,novalue
198,C2887,NO,146.5047,36.5760,270,0,C2889,novalue
199,EU8,NO,75.1662,61.5696,0,0,EU8,novalue
200,U46,NO,200.8086,76.8248,0,1,U46,
201,U13,NO,28.2905,87.2134,0,1,U46,
202,U99,NO,192.1586,109.4689,0,1,U99,
203,R476,YES,195.0187,105.0417,0,0,R476,novalue
204,C1034,YES,275.7221,64.2976,0,0,R476,novalue
205,R471,YES,55.2272,162.4051,0,0,R476,novalue
206,C2006,YES,254.1702,63.3832,0,0,R476,novalue
207,R425,YES,320.5455,39.5859,0,0,R476,novalue
208,C1079,YES,305.4020,64.3357,0,0,R476,novalue
209,C2024,YES,239.3366,63.3451,0,0,R476,novalue
210,C2076,YES,245.9406,93.9241,0,0,R476,novalue
211,C1544,YES,169.7863,63.3882,0,0,R476,novalue
212,C782,YES,162.5498,64.2595,0,0,R476,novalue
213,R543,YES,163.8325,106.9975,0,0,R476,novalue
214,C1224,YES,95.3795,87.9805,0,0,R476,novalue
215,C962,YES,70.7466,64.2518,0,0,R476,novalue
216,R547,YES,167.0787,106.4285,0,0,R476,novalue
217,C162,YES,375.3587,129.9845,0,0,R476,novalue
218,C746,YES,310.4540,87.3582,0,0,R476,novalue
219,C2015,YES,236.4410,57.5793,0,0,R476,novalue
220,R539,YES,154.3202,104.7013,0,0,R476,novalue
221,C1528,YES,297.5889,88.1075,0,0,R476,novalue
222,C1800,YES,312.4225,88.1456,0,0,R476,novalue
223,R535,YES,142.9639,104.0917,0,0,R476,novalue
224,R482,YES,4.2139,143.7513,0,0,R476,novalue
225,C1025,YES,280.7741,87.3201,0,0,R476,novalue
226,C1720,YES,282.7426,88.1075,0,0,R476,novalue
227,C1704,YES,267.9090,88.0694,0,0,R476,novalue
228,C809,YES,132.8699,64.2214,0,0,R476,novalue
229,C1448,YES,65.7022,87.9424,0,0,R476,novalue
230,C953,YES,78.5673,87.1677,0,0,R476,novalue
231,C1592,YES,80.5104,87.9805,0,0,R476,novalue
232,C827,YES,108.2192,87.2058,0,0,R476,novalue
233,C1240,YES,110.2385,87.9678,0,0,R476,novalue
234,C1176,YES,125.0594,87.9678,0,0,R476,novalue
235,C800,YES,137.8229,87.3201,0,0,R476,novalue
236,C1192,YES,139.9438,88.0567,0,0,R476,novalue
237,C1144,YES,160.7287,88.0669,0,0,R476,novalue
238,C773,YES,167.6629,87.3049,0,0,R476,novalue
239,C836,YES,103.1926,64.3103,0,0,R476,novalue
240,C2053,YES,238.2317,88.0313,0,0,R476,novalue
241,C1944,YES,251.3381,88.0694,0,0,R476,novalue
242,C2488,YES,59.4208,121.0945,90,0,R476,novalue
