COMPONENT_NO,COMPONENT_NAME,SYM_MIRROR,X_COORDINATE,Y_COORDINATE,ANGLE,IN_BOM,PACKAGE,COVER_PART
1,J47,YES,90.4786,71.0717,0,0,J47,novalue
2,J17,YES,199.4344,39.4640,0,0,J47,novalue
3,J36,YES,180.5622,114.7064,0,0,J47,novalue
4,J34,YES,321.5132,72.0014,0,0,J47,novalue
5,J39,YES,198.0197,104.5972,0,0,J47,novalue
6,J40,YES,198.0197,110.2614,0,0,J47,novalue
7,J38,YES,398.1640,93.1672,0,0,J47,novalue
8,J45,YES,13.7389,128.7996,90,0,J47,novalue
9,J18,YES,187.8051,38.4848,90,0,J47,novalue
10,J37,YES,15.1613,104.7204,90,0,J47,novalue
11,J20,YES,253.5784,182.6171,90,0,J47,novalue
12,J31,YES,40.1980,128.8834,90,0,J47,novalue
13,J33,YES,180.2105,97.8116,90,0,J47,novalue
14,J35,YES,314.6819,154.6098,180,0,J47,novalue
15,J30,YES,259.3530,124.3330,180,0,J47,novalue
16,J12,YES,230.0567,52.4002,180,0,J47,novalue
17,J41,YES,103.2015,183.3880,180,0,J47,novalue
18,J32,YES,328.3941,56.9506,270,0,J47,novalue
19,J44,YES,229.2833,60.9130,270,0,J47,novalue
20,J16,YES,206.1185,48.7388,270,0,J47,novalue
21,J19,YES,43.7363,103.6790,270,0,J47,novalue
22,J43,YES,56.7665,71.7588,270,0,J47,novalue
23,J15,YES,225.6257,91.1568,270,0,J47,novalue
24,J14,YES,314.4368,38.5280,270,0,J47,novalue
25,J13,YES,190.7261,49.8818,270,0,J47,novalue
26,R487,YES,86.3295,71.0743,0,0,R487,novalue
27,R341,YES,205.4327,51.9176,0,0,R487,novalue
28,R408,YES,403.0955,141.2240,0,0,R487,novalue
29,R409,YES,406.6007,146.8120,0,0,R487,novalue
30,R410,YES,404.2385,116.7638,0,0,R487,novalue
31,R461,YES,406.5880,154.5590,0,0,R487,novalue
32,R452,YES,14.4628,101.4984,0,0,R487,novalue
33,R451,YES,176.6418,115.7224,0,0,R487,novalue
34,R444,YES,406.6007,152.6286,0,0,R487,novalue
35,R449,YES,318.2899,71.3029,90,0,R487,novalue
36,R450,YES,317.9039,153.9113,90,0,R487,novalue
37,R448,YES,180.2105,93.9724,90,0,R487,novalue
38,C473,YES,354.1497,125.4125,90,0,R487,novalue
39,R446,YES,40.2133,124.8943,90,0,R487,novalue
40,R475,YES,13.7389,124.9553,90,0,R487,novalue
41,C400,YES,355.4197,125.4125,90,0,R487,novalue
42,C594,YES,108.9355,70.2970,90,0,R487,novalue
43,C490,YES,378.4067,124.9299,90,0,R487,novalue
44,C684,YES,251.7877,70.4139,90,0,R487,novalue
45,C674,YES,79.2048,70.2462,90,0,R487,novalue
46,C644,YES,311.1475,70.4647,90,0,R487,novalue
47,C439,YES,168.2928,70.2462,90,0,R487,novalue
48,R356,YES,378.3813,127.9271,90,0,R487,novalue
49,C451,YES,379.7529,124.9299,90,0,R487,novalue
50,R249,YES,196.1998,38.7350,90,0,R487,novalue
51,C574,YES,138.6129,70.2081,90,0,R487,novalue
52,C584,YES,281.4803,70.4393,90,0,R487,novalue
53,C2407,YES,357.6549,56.6166,180,0,R487,novalue
54,R466,YES,107.0966,183.3880,180,0,R487,novalue
55,R347,YES,188.4655,35.3060,180,0,R487,novalue
56,R357,YES,254.2769,179.4383,180,0,R487,novalue
57,R445,YES,265.0592,124.3330,180,0,R487,novalue
58,R334,YES,406.7658,91.3892,180,0,R487,novalue
59,R335,YES,406.7404,93.5228,180,0,R487,novalue
60,C420,YES,354.8532,57.3456,180,0,R487,novalue
61,R8,YES,356.2452,137.5410,180,0,R487,novalue
62,R14,YES,379.6132,137.6680,180,0,R487,novalue
63,C624,YES,245.5647,126.2939,270,0,R487,novalue
64,C564,YES,275.2065,126.3447,270,0,R487,novalue
65,C664,YES,304.8991,126.4209,270,0,R487,novalue
66,C2490,YES,379.8799,131.9403,270,0,R487,novalue
67,C2494,YES,352.2955,132.1943,270,0,R487,novalue
68,C2495,YES,356.0547,132.0673,270,0,R487,novalue
69,C604,YES,215.8213,126.3193,270,0,R487,novalue
70,R9,YES,352.3717,136.8425,270,0,R487,novalue
71,R15,YES,376.2477,136.9695,270,0,R487,novalue
72,C634,YES,58.1279,126.3574,270,0,R487,novalue
73,R353,YES,201.8513,157.7975,270,0,R487,novalue
74,C2489,YES,376.2223,132.2197,270,0,R487,novalue
75,C654,YES,87.8053,126.3955,270,0,R487,novalue
76,C351,YES,51.3918,72.8497,270,0,R487,novalue
77,R473,YES,56.7665,75.9079,270,0,R487,novalue
78,C238,YES,220.1012,62.4611,270,0,R487,novalue
79,C76,YES,223.9112,62.4611,270,0,R487,novalue
80,C346,YES,47.5818,72.8497,270,0,R487,novalue
81,C614,YES,117.4826,126.4336,270,0,R487,novalue
82,R447,YES,328.3687,61.0235,270,0,R487,novalue
83,R474,YES,229.2833,64.7573,270,0,R487,novalue
84,R27,NO,24.3942,147.9550,0,0,R27,novalue
85,C2926,NO,161.3510,98.6485,0,0,R27,novalue
86,C431,NO,62.3976,168.3918,0,0,R27,novalue
87,R439,NO,43.7490,164.9476,0,0,R27,novalue
88,C408,NO,56.2178,147.9042,0,0,R27,novalue
89,R440,NO,58.8112,169.1132,0,0,R27,novalue
90,C2114,NO,76.4134,58.1660,0,0,R27,novalue
91,R35,NO,36.0121,168.8744,0,0,R27,novalue
92,C2927,NO,161.3510,109.1235,0,0,R27,novalue
93,R36,NO,36.0121,168.0108,0,0,R27,novalue
94,C42,NO,43.7490,164.0789,0,0,R27,novalue
95,C2512,NO,394.3960,133.2992,0,0,R27,novalue
96,C2925,NO,161.3510,103.8860,0,0,R27,novalue
97,R3,NO,43.7490,163.2026,0,0,R27,novalue
98,R224,NO,74.4957,65.9892,0,0,R27,novalue
99,R336,NO,66.2788,171.4754,0,0,R27,novalue
100,R332,NO,65.0088,182.9562,0,0,R27,novalue
101,C2379,NO,15.0800,154.8638,0,0,R27,novalue
102,C2381,NO,15.0724,153.9926,0,0,R27,novalue
103,R339,NO,62.8726,148.3360,0,0,R27,novalue
104,C2525,NO,396.3772,82.3214,0,0,R27,novalue
105,R118,NO,24.3942,147.0660,0,0,R27,novalue
106,C416,NO,294.8026,179.4510,0,0,R27,novalue
107,C2445,NO,59.2938,32.0802,0,0,R27,novalue
108,C415,NO,294.8026,178.5366,0,0,R27,novalue
109,C2597,NO,386.1537,60.8330,0,0,R27,novalue
110,C2596,NO,386.1537,48.8950,0,0,R27,novalue
111,R370,NO,15.0724,153.1264,0,0,R27,novalue
112,R333,NO,57.5158,171.4881,0,0,R27,novalue
113,C2758,NO,386.1537,18.2880,0,0,R27,novalue
114,R331,NO,56.2712,182.9460,0,0,R27,novalue
115,R237,NO,2.9591,148.9558,0,0,R27,novalue
116,R236,NO,2.9591,147.1778,0,0,R27,novalue
117,C233,NO,10.6705,153.2890,0,0,R27,novalue
118,R238,NO,2.9591,142.7582,0,0,R27,novalue
119,R133,NO,2.9591,149.8194,0,0,R27,novalue
120,R136,NO,10.2616,137.0838,0,0,R27,novalue
121,C2524,NO,397.8631,81.5975,90,0,R27,novalue
122,C2444,NO,54.7345,31.2293,90,0,R27,novalue
123,R368,NO,16.3805,154.6733,90,0,R27,novalue
124,C2565,NO,350.7207,22.9870,90,0,R27,novalue
125,C2526,NO,399.5649,123.4821,90,0,R27,novalue
126,R366,NO,17.8791,148.8821,90,0,R27,novalue
127,R367,NO,18.7427,148.8821,90,0,R27,novalue
128,C2557,NO,367.9927,48.5140,90,0,R27,novalue
129,C2513,NO,393.9769,123.8377,90,0,R27,novalue
130,C2772,NO,367.9927,17.9070,90,0,R27,novalue
131,R457,NO,80.3123,182.7657,90,0,R27,novalue
132,R453,NO,91.2343,173.2661,90,0,R27,novalue
133,C2562,NO,350.7207,53.5940,90,0,R27,novalue
134,C2888,NO,136.4717,36.6395,90,0,R27,novalue
135,R454,NO,90.1675,173.2661,90,0,R27,novalue
136,R29,NO,36.5735,148.3944,90,0,R27,novalue
137,C2273,NO,219.3773,102.3087,90,0,R27,novalue
138,R328,NO,53.6067,169.3520,90,0,R27,novalue
139,C2305,NO,248.9530,132.0114,90,0,R27,novalue
140,C2197,NO,91.2571,131.9352,90,0,R27,novalue
141,C2425,NO,202.5117,123.3805,90,0,R27,novalue
142,R225,NO,72.3570,60.8838,90,0,R27,novalue
143,R330,NO,52.7431,169.3520,90,0,R27,novalue
144,C411,NO,47.9196,163.0553,90,0,R27,novalue
145,C2301,NO,234.1067,132.0114,90,0,R27,novalue
146,C2201,NO,76.4235,131.8971,90,0,R27,novalue
147,R122,NO,129.8423,163.2763,90,0,R27,novalue
148,C2285,NO,234.2236,102.3087,90,0,R27,novalue
149,C2205,NO,76.5277,102.2325,90,0,R27,novalue
150,C2373,NO,335.7347,104.2035,90,0,R27,novalue
151,C2368,NO,335.7347,134.0485,90,0,R27,novalue
152,C493,NO,67.8840,157.3403,90,0,R27,novalue
153,C2398,NO,326.5907,107.2515,90,0,R27,novalue
154,C2396,NO,326.5907,137.0965,90,0,R27,novalue
155,C2289,NO,249.0572,102.3468,90,0,R27,novalue
156,C2209,NO,91.3613,102.2706,90,0,R27,novalue
157,C2229,NO,278.6304,132.0495,90,0,R27,novalue
158,C2225,NO,120.9345,131.9733,90,0,R27,novalue
159,C494,NO,47.9196,156.8323,90,0,R27,novalue
160,C559,NO,199.8955,61.4629,90,0,R27,novalue
161,C615,NO,127.6299,119.1387,90,0,R27,novalue
162,C2169,NO,106.1009,131.9352,90,0,R27,novalue
163,C554,NO,27.4803,71.8515,90,0,R27,novalue
164,R31,NO,38.8595,166.8755,90,0,R27,novalue
165,R30,NO,39.6469,165.4277,90,0,R27,novalue
166,R465,NO,200.4543,106.5149,90,0,R27,novalue
167,C153,NO,197.6374,108.4809,90,0,R27,novalue
168,C152,NO,197.6374,112.5449,90,0,R27,novalue
169,C150,NO,186.5884,111.9099,90,0,R27,novalue
170,C635,NO,68.2727,119.0625,90,0,R27,novalue
171,C655,NO,97.9526,119.1006,90,0,R27,novalue
172,C605,NO,225.9686,119.1387,90,0,R27,novalue
173,C625,NO,255.6485,119.1768,90,0,R27,novalue
174,C565,NO,285.3258,119.2149,90,0,R27,novalue
175,C665,NO,315.0057,119.2530,90,0,R27,novalue
176,C148,NO,186.4843,102.5754,90,0,R27,novalue
177,C2234,NO,277.7668,132.0495,90,0,R27,novalue
178,C2170,NO,120.0709,131.9733,90,0,R27,novalue
179,C2230,NO,292.6131,132.0495,90,0,R27,novalue
180,C2226,NO,134.9045,132.0114,90,0,R27,novalue
181,C2290,NO,263.0373,102.3468,90,0,R27,novalue
182,C2210,NO,105.3414,102.2706,90,0,R27,novalue
183,C2286,NO,248.1936,102.3468,90,0,R27,novalue
184,C2206,NO,90.4977,102.2706,90,0,R27,novalue
185,C2302,NO,248.0894,132.0114,90,0,R27,novalue
186,C2202,NO,90.3935,131.9352,90,0,R27,novalue
187,C2306,NO,262.9332,132.0114,90,0,R27,novalue
188,C2198,NO,105.2373,131.9352,90,0,R27,novalue
189,C2274,NO,233.3600,102.3087,90,0,R27,novalue
190,C2194,NO,75.6641,102.2325,90,0,R27,novalue
191,C2270,NO,218.5137,102.3087,90,0,R27,novalue
192,C2190,NO,60.8178,102.2325,90,0,R27,novalue
193,C45,NO,42.9133,157.1473,90,0,R27,novalue
194,C2380,NO,23.3604,154.1170,90,0,R27,novalue
195,R338,NO,67.8917,160.9217,90,0,R27,novalue
196,C358,NO,51.7728,64.8487,90,0,R27,novalue
197,C245,NO,224.2922,54.4601,90,0,R27,novalue
198,C379,NO,220.4822,59.4131,90,0,R27,novalue
199,C375,NO,47.9628,69.8017,90,0,R27,novalue
200,C2443,NO,63.2435,32.7025,90,0,R27,novalue
201,C543,NO,145.0569,102.4712,90,0,R27,novalue
202,C544,NO,156.0424,102.4077,90,0,R27,novalue
203,C548,NO,177.6451,112.5423,90,0,R27,novalue
204,C547,NO,177.6324,102.2807,90,0,R27,novalue
205,C231,NO,15.4432,139.6213,90,0,R27,novalue
206,C2181,NO,61.5772,131.8971,90,0,R27,novalue
207,C2261,NO,219.2731,131.9733,90,0,R27,novalue
208,C2173,NO,106.2050,102.2706,90,0,R27,novalue
209,C2266,NO,218.4095,131.9733,90,0,R27,novalue
210,C2186,NO,60.7136,131.8971,90,0,R27,novalue
211,C2237,NO,263.9009,102.3468,90,0,R27,novalue
212,C2177,NO,121.0386,102.3087,90,0,R27,novalue
213,C2241,NO,278.7345,102.3849,90,0,R27,novalue
214,C2309,NO,308.3103,132.0876,90,0,R27,novalue
215,C2313,NO,293.4767,132.0495,90,0,R27,novalue
216,C2317,NO,293.5808,102.3849,90,0,R27,novalue
217,C2321,NO,308.4144,102.4230,90,0,R27,novalue
218,C2185,NO,46.7436,131.8590,90,0,R27,novalue
219,C2322,NO,322.3844,102.4611,90,0,R27,novalue
220,C2265,NO,204.4395,131.9352,90,0,R27,novalue
221,C2318,NO,307.5508,102.4230,90,0,R27,novalue
222,C2189,NO,46.8478,102.1944,90,0,R27,novalue
223,C2314,NO,307.4467,132.0876,90,0,R27,novalue
224,C2269,NO,204.5437,102.2706,90,0,R27,novalue
225,C2310,NO,322.2803,132.1257,90,0,R27,novalue
226,C2193,NO,61.6814,102.2325,90,0,R27,novalue
227,C2242,NO,292.7172,102.3849,90,0,R27,novalue
228,C2178,NO,135.0086,102.3468,90,0,R27,novalue
229,C2238,NO,277.8709,102.3849,90,0,R27,novalue
230,C2174,NO,120.1750,102.3087,90,0,R27,novalue
231,C2262,NO,233.2431,132.0114,90,0,R27,novalue
232,C2182,NO,75.5599,131.8971,90,0,R27,novalue
233,C2233,NO,263.7968,132.0114,90,0,R27,novalue
