COMPONENT_NO,COMPONENT_NAME,SYM_MIRROR,X,Y,ANGLE,IN_BOM,PACKAGE,COVER_PART
1,R677,NO,163.5326,115.9535,0,0,R677,novalue
2,R676,NO,163.5249,117.1753,0,0,R677,novalue
3,C32,NO,347.7003,139.9311,0,0,R677,novalue
4,C345,NO,215.3663,70.9930,0,0,R677,novalue
5,R674,NO,163.5351,118.5164,0,0,R677,novalue
6,C26,NO,345.9223,154.0078,0,0,R677,novalue
7,C164,NO,357.7333,122.3391,0,0,R677,novalue
8,R137,NO,17.0558,140.8430,0,0,R677,novalue
9,C226,NO,10.9598,138.4300,0,0,R677,novalue
10,C368,NO,50.7845,75.5167,0,0,R677,novalue
11,C370,NO,50.7845,72.0877,0,0,R677,novalue
12,C439,NO,157.6448,73.9140,0,0,R677,novalue
13,C3146,NO,307.2000,175.4632,0,0,R677,novalue
14,C481,NO,381.6373,122.2756,0,0,R677,novalue
15,C366,NO,50.7845,73.8657,0,0,R677,novalue
16,R495,NO,162.5978,38.3540,0,0,R677,novalue
17,C467,NO,371.6043,139.8626,0,0,R677,novalue
18,C2839,NO,197.2942,146.7104,0,0,R677,novalue
19,C2718,NO,181.2922,146.7104,0,0,R677,novalue
20,R429,NO,394.3805,72.9386,0,0,R677,novalue
21,C687,NO,238.2898,75.8190,0,0,R677,novalue
22,C228,NO,17.0558,139.3190,0,0,R677,novalue
23,C2719,NO,162.3692,146.7104,0,0,R677,novalue
24,C2720,NO,146.3672,146.7104,0,0,R677,novalue
25,R422,NO,149.8978,133.6040,0,0,R677,novalue
26,C2735,NO,355.1933,14.5796,0,0,R677,novalue
27,C452,NO,369.8263,153.9443,0,0,R677,novalue
28,C2566,NO,391.3883,46.4820,0,0,R677,novalue
29,C2734,NO,355.1933,33.9344,0,0,R677,novalue
30,C677,NO,66.2048,75.1840,0,0,R677,novalue
31,C684,NO,238.2898,74.5490,0,0,R677,novalue
32,C2840,NO,385.8003,32.6390,0,0,R677,novalue
33,C441,NO,157.6448,75.1840,0,0,R677,novalue
34,C564,NO,268.7698,117.7290,0,0,R677,novalue
35,C2755,NO,385.8003,31.3690,0,0,R677,novalue
36,C2550,NO,355.1933,45.1866,0,0,R677,novalue
37,C567,NO,268.7698,118.9990,0,0,R677,novalue
38,C574,NO,127.1648,73.9140,0,0,R677,novalue
39,C2531,NO,355.1933,64.5414,0,0,R677,novalue
40,C667,NO,299.2498,118.9990,0,0,R677,novalue
41,C674,NO,66.2048,73.9140,0,0,R677,novalue
42,C577,NO,127.1648,75.1840,0,0,R677,novalue
43,C584,NO,268.7698,74.5490,0,0,R677,novalue
44,C587,NO,268.7698,75.8190,0,0,R677,novalue
45,C594,NO,96.6848,73.9140,0,0,R677,novalue
46,C597,NO,96.6848,75.1840,0,0,R677,novalue
47,C604,NO,207.8098,117.7290,0,0,R677,novalue
48,C607,NO,207.8098,118.9990,0,0,R677,novalue
49,C614,NO,111.9248,117.0940,0,0,R677,novalue
50,C617,NO,111.9248,118.3640,0,0,R677,novalue
51,C2086,NO,173.1388,171.0690,0,0,R677,novalue
52,C624,NO,238.2898,117.7290,0,0,R677,novalue
53,C627,NO,238.2898,118.9990,0,0,R677,novalue
54,C634,NO,50.9648,117.0940,0,0,R677,novalue
55,C644,NO,299.2498,74.5490,0,0,R677,novalue
56,C647,NO,299.2498,75.8190,0,0,R677,novalue
57,C654,NO,81.4448,117.0940,0,0,R677,novalue
58,C657,NO,81.4448,118.3640,0,0,R677,novalue
59,C664,NO,299.2498,117.7290,0,0,R677,novalue
60,R109,NO,339.5723,112.0775,90,0,R677,novalue
61,C23,NO,206.7303,151.7015,90,0,R677,novalue
62,C2450,NO,368.6807,61.2140,90,0,R677,novalue
63,C2537,NO,370.9921,66.6750,90,0,R677,novalue
64,C2766,NO,368.6807,30.6070,90,0,R677,novalue
65,C2741,NO,370.7381,36.0680,90,0,R677,novalue
66,C2956,NO,153.6443,32.3850,90,0,R677,novalue
67,R441,NO,395.9857,70.4215,90,0,R677,novalue
68,C3181,NO,170.5811,124.8080,90,0,R677,novalue
69,R514,NO,309.7781,170.6499,90,0,R677,novalue
70,C3179,NO,165.4249,119.1870,90,0,R677,novalue
71,R660,NO,169.3593,124.7978,90,0,R677,novalue
72,C41,NO,29.9819,162.1384,90,0,R677,novalue
